"id","cefr_level","headword","pos","first_meaning","length","meaning_raw","example_ja","topic"
"6","A1","actor","noun","俳優","2","(男の)俳優,男優  / 行為者","トム・ハンクスはハリウッドで有名な俳優です。","Film; Personal identification; Work and jobs"
"7","A1","add","verb","を合計する","5","【他】〈二つ以上のもの〉を合計する《up, together》 / 《…に》…を加える《to , and ...》 / 《 〜 that節》…とつけ加える / 【自】足し算をする,加える","これらのアイテムの合計費用を計算してください。",""
"8","A1","address","noun","あて名","3","〈C〉あて名,住所 / 〈C〉演説, (口頭・文書による)あいさつの言葉([[speech]]) / 《文》〈U〉話しぶり,応対のしかた / 〈U〉(物事を扱う)手ぎわのよさ,如才なさ / 《複数形で》くどき,求愛,求婚","封筒にあなたの住所を書いてください。","Personal identification; Personal information"
"9","A1","afraid","adjective","気づかって","5","《...を》恐れて,こわがって《of ...》  / 気づかって,心配して  / 気が進まない","私はクモを恐れています。",""
"10","A1","after","preposition","…を求めて","5","《時・順序》…の後に,…後に, …の次に  / …を求めて,の後を追って  / …の名をとって,にならって, …ふうに(の)  / …のことを心配して,に関して  / …だから,…の結果","私は普通、夕食の後に散歩に行きます。",""
"11","A1","afternoon","noun","午後","2","午後(正午から日没まで) / 《形容詞的に》午後の","私は通常、午後に公園を散歩します。",""
"12","A1","again","adverb","再び","2","再び,もう一度([[once more]]) / 《否定語とともに用いて》二度と(…しない)  / また元の所へ,元のように  / さらにそれだけ,…の倍も  / 《しばしば[[then]], [[and then]]に続いて》その上に([[besides]]),さらに([[furthermore]])  / 《しばしばand, and thenに続いて》また一方,ところが","私は明日再び試します。",""
"13","A1","age","noun","年齢","2","〈U〉(一般に)年齢,寿命;〈C〉(個々の)年齢,年  / 〈U〉成年(おとなとしての資格・権利を得る年齢;通例18または21歳)  / 〈U〉老齢,《集合的に》老人たち  / 〈U〉(人生の)一時期 / 〈C〉世代([[generation]])  / 〈U〉〈C〉《しばしばA-》(歴史上の)時代  / 〈C〉《話》長い間","私の夢にとって年齢は障害ではない。","Personal identification; Personal information"
"14","A1","agree","verb","意見が一致する","7","〈人が〉意見が一致する,合意する;同意する,賛成する  / 〈物事が〉《…と》合致する,一致する《with ...》  / 《…と》いっしょにうまくやる《with ...》  / (文章で)〈人称・性・数・格が〉一致する  / …に意見が一致する,同意する","私はこの問題についてのあなたの意見に完全に同意します。",""
"15","A1","airplane","noun","飛行機","3","飛行機(《英》[[aeroplane]])","来月、日本へ旅行するために飛行機に乗る予定です。","Travel; Ways of travelling"
"16","A1","airport","noun","空港","2","〈C〉空港, 飛行場","私は空港であなたを迎えに行きます。","Things in the town; Travel; Travel and services vocab; shops and shopping"
"17","A1","album","noun","アルバム","4","(写真・切手・切り抜きなどを貼る)アルバム  / (いくつかの曲・劇などを収録した)組レコード,アルバム  / 画帳","私は屋根裏で古い写真アルバムを見つけました。","Daily life; Objects and rooms"
"18","A1","all right","adjective","かまわない","5","かまわない / 《...にとって》都合がいい《for ...》 / うまくいっている","時々遅れてもかまわない。",""
"19","A1","all right","adverb","うまく","3","うまく / 《確信》確かに, 間違いなく / 《確認》わかりましたか /《同意》はい / 《喜び》やったぞ / 《脅し》おい / 《切り出し》それでは","最後にはうまくいくよ。",""
"20","A1","almost","adverb","ほとんど","4","ほとんど,たいてい([[nearly]])、もう少し","私は宿題をほとんど終えました。",""
"21","A1","alone","adverb","ひとりで","4","ひとりで, 単独で, ただ…だけで","私はひとりで旅行することに決めました。",""
"22","A1","along","adverb","連れて","3","《動作や状態の継続を強めて》前へ,進んで / (人を)連れて;(物を)持って / 沿って,並んで","私たちは何も言わずに前へと歩き続けました。",""
"23","A1","also","adverb","…もまた","4","…もまた([[too]]), 同様に（[[as well]]） / そしてその上,それから","私も本を読むのが好きです。",""
"24","A1","always","adverb","いつも","3","いつも, 常に / いつまでも, 永久に / 《話》 いずれにしても, 必要なら","私はいつも朝にコーヒーを飲みます。",""
"25","A1","am","be-verb","be動詞の一人称単数","10","be動詞の一人称単数,直説法,現在形","私は学生です。",""
"26","A1","angry","adjective","怒った","3","怒った, 腹を立てた / (波・風などが)怒ったような, 激しい / (傷が)炎症を起こした","彼はバスに乗り遅れたから怒っていた。",""
"27","A1","animal","noun","動物","2","(植物に対して)動物  / (人間以外の)動物,けだもの  / (魚・鳥などに対して)哺乳動物([[mammal]])  / けだもの(野獣)のような人  / (比較変化なし)《名詞の前にのみ用いて》動物の,動物性の,動物質の  / (知的・精神的に対して)動物的な;肉欲的な","動物園は、さまざまな種類の動物を見ることができる場所です。",""
"28","A1","another","determiner","もう一つの","5","もう一つの,もう一人の  / 別の,ほかの(different)  / もう一つ,もう一人  / 別のもの(人),違ったもの(人)  / 似たもの,同類","今日の昼食は別のレストランにしましょう。",""
"29","A1","answer","noun","答え","2","〈C〉(質問・要求に対する)答え,回答([[reply]]),(手紙に対する)返事《to ...》 / 《…に対する》応報, 仕返し 《to ...》/ (問題に対する)解答,正解《to ...》 / (一般に)《…に対する》解答,説明,(被告人の)答弁,申し開き《to, for ...》","「その通り、正解だ！」",""
"30","A1","answer","verb","に答える","4","〈質問・手紙・人など〉に答える,返事をする / 〈訪問・電話など〉に応じる / 《…で》…に応酬する,...に応答する《with ...》 / 〈非難など〉に答弁する / 〈目的・条件など〉にかなう,に合致する,に添う / 《…に》答える,返事をする《to ...》 / 《…に》応ずる,応酬する《to ...》 / 〈物事が〉うまくいく,成功する","明日、あなたの質問に答えます。",""
"31","A1","anybody","pronoun","誰か","2","【代】｟くだけて｠（疑問文で）誰か，（否定文で）誰も，（肯定文で）誰でも","それは誰にでもできる。",""
"32","A1","apple","noun","リンゴ","3","リンゴ;リンゴの木","今朝リンゴを食べました。","Food and drink"
"34","A1","apron","noun","エプロン","4","『エプロン』,前掛け / (また『apron stage』)張り出し舞台 / エプロン(飛行機の乗降・荷積み・給油などをする所)","彼は白いエプロンを身に着けていた。","Objects and rooms; Shopping"
"35","A1","are","be-verb","…である","4","…『である』,…です(beの二人称の単数とすべての人称の複数の直説法現在形)","あなたは私の最高の友人です。",""
"36","A1","arm","noun","腕","1","〈C〉(人・猿の)腕 / (四つ足の動物の前肢の)腕(手首から肩までの間）（手は[[hand]]) / 腕のような物, (特に)いすのひじ掛け, 樹の大枝 / 〈C〉《複数形で》武器, 兵器","彼は腕を高く掲げた。","Health and body care; Personal information"
"37","A1","around","preposition","...の周りに","7","...の周りに / …のあちこちに, …のあちこちを / 《米・英話》…を回って","私は朝、公園を歩き回るのが好きです。",""
"38","A1","arrive","verb","着く","2","着く,到着する《at, in, on ...》 / (ある目標・過程・断階などに)達する 《at ...》 / （時が）来る","電車は午後8時に駅に到着します。",""
"39","A1","art","noun","芸術","2","〈U〉〈C〉芸術, 芸術作品 / 〈C〉技術, 技法 / 〈U〉《複数形で・単数扱い》人文科学","彼女は美術館や博物館を訪れることを楽しんでいます。","Education; Free time; Hobbies and pastimes; entertainment"
"40","A1","article","noun","記事","2","(新聞・雑誌などの)(…についての)記事,論説《+on+名》  / (条約・契約などの)条項,箇条;《複数形で》契約  / 《複数形で》(またarticles of apprenticeship)徒弟年季契約  / (同種の物の)一個,一品,品物,商品《+of+名》  / 冠詞","この記事は運動の効果を説明しています。","Free time; Shopping; entertainment"
"41","A1","ask","verb","について質問する","8","〈他〉〈事〉について質問する, を尋ねる / 《...について》〈人〉に質問する《about ...》 / 〈事〉を頼む / 《...を》〈人〉に頼む 《for ...》 / 〈自〉《...について》質問する《about ...》","彼女に夕食に付き合ってもらうように頼んだ。",""
"43","A1","aunt","noun","おば","2","『おば』 / おばさん(年長の婦人に対する敬称)","私のおばさんが私の誕生日に美しいネックレスをくれた。","Family life; Personal identification"
"44","A1","autumn","noun","秋","1","〈C〉〈U〉秋","秋の葉の光景は圧巻です。",""
"45","A1","awake","adjective","眠らずに","4","眠らずに,目がさめて / 《…に》気づいている《to ...》","その子供は、両親が帰宅したときには完全に目を覚ましていた",""
"46","A1","away","adverb","離れて","3","離れて","彼女は事故現場から歩いて立ち去った。",""
"47","A1","baby","noun","赤ん坊","3","赤ん坊,赤ちゃん  / (家族・グループの中で)いちばん年少の人,最年少者  / 赤ん坊みたいな人  / (またbabe)《米俗》《特に若い女の子への呼びかけた用いて》かわいこちゃん  / 赤ん坊の[ような],赤ちゃん用の  / 《話》…'を'赤ちゃんのように扱う,甘やかす","私に笑顔を見せてくれた赤ちゃん。","Family life; Personal identification"
"48","A1","back","adverb","後方へ","3","後方へ,後ろに([[backward]]) / (場所・状態が)もとへ,帰って,返して / (時間的に)さかのぼって,今から…前に([[ago]])","彼は後ろを振り返り、車が近づいてくるのを見ました。",""
"49","A1","back","noun","背","1","〈C〉(人・動物の)背,背中,背部 / 《通例the〜》(正面に対して)《…の》後ろ,裏,奥,後部《of ...》 / 《通例the》背に似たもの, (手足の)甲, (刀の)みね, (いす・本の)背 / 〈C〉〈U〉(フットボール・ホッケーなどの)後衛","彼は背中にタトゥーを入れている。","Health and body care"
"50","A1","bad","adjective","悪い","2","悪い,不良の;不正な  / 適当でない,欠陥のある  / 《補語にのみ用いて》《…に》有害な《for ...》  / 病気の  / ひどい,激しい,重い  / 腐敗した,腐った  / 不快な,いやな  / へたな,まずい  / 《補語にのみ用いて》《話》《…を》悪いと(残念に)思っている《about ...》","その食べ物はおいしくなかった。",""
"51","A1","bag","noun","袋","1","袋  / 袋状の物  / (女性の)ハンドバッグ;旅行かばん,スーツケース  / (…の)1袋分の量《+of+名》  / (野球の)走塁ベース  / 獲物入れ;(猟の)獲物","私はバッグを買うつもりです。","Clothes; Shopping"
"52","A1","ball","noun","球","1","〈C〉球, ボール / 〈U〉球技, 野球 / 〈C〉弾丸 / 球状のもの / 《俗》睾丸(こうがん) /","私は新しいボールを買った。","Free time; Hobbies and pastimes; entertainment"
"53","A1","banana","noun","バナナ","3","『バナナ』;バナナの木 / 《米俗》ドル","お店でバナナを買った。","Food and drink"
"54","A1","band","noun","帯","1","〈C〉帯, バンド, ひも / (色の)すじ,しま  / 周波数","彼女は髪を結ぶために、ゴム製のヘアバンドを使ってポニーテールを作った。","Clothes; Shopping"
"55","A1","bank","noun","銀行","2","〈C〉銀行 / 貯金箱 / 貯蔵","私は私のお金を銀行に預金しました。","Services; Things in the town; shops and shopping"
"56","A1","bar","noun","棒","1","〈C〉棒 / 《...に対する》障害《to, against ...》 / 酒場","このバーは学生に人気のたまり場です。","Food and drink; Things in the town; shops and shopping"
"57","A1","baseball","noun","野球","2","〈U〉野球","彼は野球をするのが大好きです。","Free time; Hobbies and pastimes; entertainment"
"58","A1","basketball","noun","バスケットボール","8","〈U〉バスケットボール,篭(ろう)球  / 〈C〉バスケットボール用のボール","彼はバスケットボールを楽しんでいる。","Free time; Hobbies and pastimes; entertainment"
"59","A1","bat","noun","バット","3","〈C〉(野球・クリケットの) バット / (特にバトミントン・スカッシュなどの)ラケット / 打者 / 打順 / バットによる一撃","彼はバットでボールを打った。","Free time; entertainment"
"60","A1","bath","noun","入浴","2","入浴;水浴び  / (また《おもに米》bathtub,《話》tub)浴槽(よくそう),ふろ[がま]  / 浴室(bathroom);  / 《複数形で》(古代の)大浴場  / (化学作用を与えるための)浴液;電解そう","私はお風呂に入ります。","House and home; Objects and rooms; environment"
"61","A1","bathroom","noun","浴室","2","浴室,ふろ場  / 便所(toilet)","トイレに行く必要がある。","House and home; Objects and rooms; environment"
"62","A1","be","be-verb","存在する","4","《補語を伴って》 ...である / 《位置・場所を伴う語句を伴って》 《...に》 ある / 存在する","すぐにそこに行くよ。",""
"63","A1","beach","noun","浜","1","浜,海岸  / 海水浴場  / 〈ボートなど〉'を'浜に引き上げる","私たちはビーチで素晴らしい一日を過ごしました。","Holidays; House and home; Travel and services vocab; environment"
"64","A1","bean","noun","豆","1","豆(おもにいんげん豆・そら豆など大きめの豆類)  / 豆のさや(pod)  / 豆に似た実  / 《俗》頭","昼ごはんにビーンを食べました。","Food and drink"
"65","A1","bear","noun","熊","1","〈C〉熊 / 〈C〉乱暴者 / (株式で)売り方","熊は野原を走っていった。",""
"66","A1","beautiful","adjective","美しい","3","美しい,きれいな  / 《話》みごとな,すばらしい  / 《名詞的に;the~》《単数扱い》美(beauty)  / 《名詞的に;the~》《複数扱い》美しい人たち(beautiful people);美しいもの","彼女は美しい声を持っている。",""
"67","A1","because","conjunction","…だから","4","(なぜならば)…だから,…ゆえに  / 《否定文の主節とともに用い》…であるからといって  / 《おもに話》《名詞節を導いて》…ということ","牛乳が必要だから店に行ったんだ。",""
"68","A1","become","verb","...になる","6","...になる / 〈衣類などが〉〈人〉に似合う / にふさわしい","彼は成功した実業家になった。",""
"69","A1","bed","noun","ベット","3","〈C〉〈U〉ベット,寝台  / 〈U〉睡眠,宿泊  / 〈C〉花壇,苗床…養殖場  / 〈C〉(海・川などの)床,水底  / 〈C〉地層;(一般に)土台","昨晩は快適なベッドで寝ました。","House and home; Objects and rooms; environment"
"70","A1","bedroom","noun","寝室","2","寝室;(列車内の)寝室","私の家には１つ寝室があります。","House and home; Objects and rooms; environment"
"71","A1","bee","noun","はち","2","『はち』,(特に)みつばち(honeybee) / 《米話》(趣味・仕事上の)集会,集い / (親善のための)競技会 / 働き者","蜂が花の周りをブンブン飛び回っていました。","Education"
"72","A1","beef","noun","牛肉","2","〈U〉牛肉;(一般に)肉  / 〈C〉《おもに米》肉牛,食肉牛;(屠殺(とさつ)して処理した)牛  / 〈U〉《話》筋肉,力;体重,肉づき  / 〈C〉《俗》不平,苦情","私は牛肉を食べるのが大好きです。","Food and drink"
"73","A1","before","adverb","今までに","4","《場所・位置》前へ(に),前方へ(に),先へ(に)  / 《時》以前に,すでに([[already]]);今までに,その時までに  / (予定より)早く,前に","前へ進んでください。",""
"74","A1","before","preposition","…の前に","4","《場所・位置》…の前に,を前にして / 《時》…より前に([[earlier]] than…) / (裁判・審理などのために)…の前に / …の前途に,に用意されて,を待って / (困難・不利など)に直面して / (力・勢いなど)に追われて,押されて,攻撃されて / 《順序・階級・価値など》…よりまさって,に優先して,より重要で / 《優先》…よりむしろ,するくらいなら([[rather than]])","その本はラップトップの前にあります。",""
"75","A1","begin","verb","始まる","3","始まる,開始する  / 発生する,起こる  / …'を'始める,‘に'着手する  / …'を'起こす,創始する","私は新しい言語を学び始めた。",""
"76","A1","behind","adverb","過ぎ去って","5","過ぎ去って,過去に  / 《場所・位置》後ろに,陰に[隠れて]  / 《leave,remain,stayなどの動詞と共に用いて》後に  / (定められた時刻に)遅れて;(知識・仕事・進歩などが)遅れて","私たちの若い日々は今や遠く過ぎ去っています。",""
"77","A1","behind","preposition","…を支持して","6","《場所・位置》…の後ろに,の陰に, の陰に隠れて / 《比喩的に》…の陰に隠されて,の裏に([[at the back of]]) / …を支持して,…に味方して / 《[[leave]],[[remain]],[[stay]]などの動詞と共に用いて》…の後に,が去った後に /  (定められた時刻)に遅れて, (知識・仕事・進歩などが)遅れて","猫はソファの後ろに隠れています。",""
"78","A1","being","be-verb","beの現在分詞・動名詞","11","[[be]]の現在分詞・動名詞 / ...であること","正直であることが最善の方針です。",""
"79","A1","believe","verb","を信じる","4","(現実・真実であると)〈事〉'を'信じる,信用する  / 〈人〉'を'信じる,信用する;〈人〉‘の'言ったことを信じる  / 《1,2の弱い意味に,同じ文型で用いて》…‘と'思う,考える(think)  / 信ずる;信仰する","私は優しさの力を信じている。",""
"80","A1","bell","noun","鐘","1","鐘,釣り鐘;鈴,ベル,りん  / 〈U〉鐘(鈴,ベル)の音  / 〈C〉鐘(ベル)状のもの  / 〈C〉点鐘(船の当直交替を0時から4時間ごとに区切り,その間を30分ごとに1‐8点鐘で時を報じる.例えば2つ鳴らすことを2点鐘といい,午前または午後の1時,5時,9時を指す.8点鐘は当直交替の時間)","8時にベルが鳴った。","Objects and rooms; Shopping"
"81","A1","below","adverb","下方へ向かって","7","下方へ向かって,低い位置へ / 下方で,低い位置で / (記述で)以下に,下記に","下に海が見えます。",""
"82","A1","below","preposition","…より下手に","6","【前置詞】《[[fly]],[[go]],[[sink]] など移動を表す動詞と結びつき方向を表して》…の下方へ,より低い位置へ / 《位置》…の下方で,より低い位置に / (上手・先方に対して)…より下手に,より手前に / (度合・地位・数量などが)…より以下で(の) / …にふさわしくない,にさえ値しない","鳥は雲の下を飛んでいます。",""
"83","A1","beside","preposition","…と比較して","6","《位置・場所》…のそばに,のわきに,の横に / …と比較して([[compared with]]) / (要点など)をはずれて([[apart from]])","彼は私の隣に座っていた。",""
"84","A1","best","adjective","goodの最上級","8","(『[[good]]』の最上級;比較級は『[[better]]』)『いちばんよい』,最もよい,最良の / (『[[well]]』の最上級;比較級は『[[better]]』)『健康状態が最良の』([[healthiest]]) / 最大の,大部分の / 《話》(反語的に)きわめてひどい,徹底した","これは私が今まで見た中で最高の映画です。",""
"85","A1","best","adverb","wellの最上級","8","(『[[well]]』の最上級;比較級は『[[better]]』)『いちばんよく』,最もよく,最も / 《通例過去分詞と結合して形容詞を作って》最もよく","彼女は私たちのクラスの全ての生徒の中で最も上手に歌います。",""
"86","A1","better","adjective","もっと多い","5","《good の比較級》 いっそうよい,もっとすぐれた / 《wellの比較級》《補語にのみ用いて》(健康が)いっそうよい,(病気が)快方に向かって / (量・距離・時間などが)もっと多い","この車は以前よりもはるかに良く走ります。",""
"87","A1","bicycle","noun","自転車","3","(2輪の)自転車","今日新しい自転車を買いました。","Free time; Leisure activities; entertainment"
"88","A1","big","adjective","大きい","3","(大きさ・高さ・広さ・数量・容積などについて)大きい  / 成長した(grown-up),成熟した;年長の(older)  / 《話》重要な  / 尊大な,ごう慢な  / 寛大な,心の大きい  / 《補語にのみ用いて》(…に)満ちて《+with+名》  / 《補語にのみ用いて》(子を)宿して《+with+名》","その家は大きかった。",""
"89","A1","bike","noun","オートバイ","5","〈C〉《くだけて》自転車 / オートバイ","私は新しい自転車を買った。","Leisure activities; Travel; Ways of travelling"
"90","A1","bird","noun","鳥","1","鳥  / 〈話〉《修飾語を伴なって(目立った特徴をもった)やつ,人  / シャトル / 《英俗》女  / 《俗》《[[the bird|get the bird]]》(不満を表す)しーっしーっという野次 / 《形容詞的に》bird feathers（鳥の羽）bird life（〈U〉鳥の生活）","鳥が川を飛び越えた。",""
"91","A1","birth","noun","誕生","2","〈C〉〈U〉誕生,出生  / 〈U〉生まれ,家柄;家系(lineage)  / 〈C〉起原,起こり(origin)","私の最初の子供の誕生は私の人生で最も幸せな瞬間でした。","Daily life; Family life"
"92","A1","birthday","noun","誕生日","3","誕生日","私の兄の誕生日は6月3日です。","Personal identification; Personal information"
"93","A1","black","adjective","黒い","2","黒い,黒色の  / 暗い,まっ暗な([[dark]])  / (特にアフリカ系)黒人の  / 汚い([[dirty]]),汚れた([[soiled]])  / 陰気な([[gloomy]]);不吉な;見通しの暗い  / 怒った([[angry]]);不きげんな([[sullen]])  / 腹黒い,邪悪な([[wicked]], [[evil]])  / 《文》不名誉な  / (コーヒーに)クリーム(牛乳)を入れない,ブラックの","彼女はパーティーに黒いドレスを着て行った。",""
"94","A1","black","noun","黒","1","〈U〉黒,黒色 /〈C〉《しばしばB-》黒人 / 〈U〉黒い服, 黒衣,(特に)喪服 / 《the》黒字 （赤字は[[red]]）","彼は黒が似合う。","Colours"
"95","A1","blank","adjective","白紙の","3","(紙が)白紙の;(欄が)空白の,書き入れていない  / がらんとした,からの(empty);なんの装飾もない  / ぼんやりした,うつろな,無関心な  / 全くの  / 空白,空所  / 書き込み用紙(form)  / 空虚;空(くう)の部分  / (語句・文学を伏せる場所に用いる)ダッシュ“‐"":Mr-某氏  / (またblank cartridge)(銑火器の)空包","空は空しく、何もない状態だった。",""
"96","A1","block","noun","かたまり","4","(木・石などの,通例平らな面のある)『かたまり』  / 《米》『区画』,街区  / 『妨害物』,障害物([[obstacle]]);(障害によって生じた)停滞,渋滞","街区は人で埋め尽くされていた。","House and home; Things in the town; environment; shops and shopping"
"97","A1","blow","verb","吹く","2","〈風が〉吹く /  風で動く,なびく / 〈風が〉…を吹く, を吹き動かす","風が強く吹き始めた。",""
"98","A1","blue","adjective","青い","2","青い,あい色の  / 青黒い  / 《話》陰気な,憂うつな","空は青いです。",""
"99","A1","blue","noun","青色","2","〈U〉青色,あい色;青色の着物 / 〈U〉〈C〉青色絵の具,あい色染料 / 《the 〜》《詩》青空,青い海 / 《the 〜s》《話》憂うつ, 気のふさぎ, うれいの色 / 《the 〜s》《ときに単数扱い》(ジャズ音楽の)ブルース","空は美しい青色です。","Colours"
"100","A1","board","verb","板","1","〈C〉(ある程度の長さと幅をもった薄い)板  / 〈C〉ボール紙,台紙  / 〈C〉食卓;〈U〉食事,(特に有料の)まかない  / 〈C〉甲板(かんぱん),船べり  / 〈C〉委員会;(官庁の)局,部,課  / 《the boards》舞台","掲示板に注意事項を貼ります。","House and home; Objects and rooms; environment"
"101","A1","boat","noun","小型の船","4","小型の船,小舟,ボート  / 《話》(大小に関係なく一般に)船,汽船  / 舟形の容器","子どもたちはボート乗りをした。","Leisure activities; Travel; Ways of travelling"
"102","A1","body","noun","身体","2","【名】身体；（生物の）胴体；人","医者は患者の体を検査した。","Health and body care"
"103","A1","bone","noun","骨","1","〈C〉骨  / 〈U〉骨を作っている物質,骨質  / 《複数形で》骨格;死骸(がい)","彼は庭に骨を見つけた。",""
"104","A1","book","verb","本","1","本 / 書物, 書籍, 著作 / 知識の源 / 聖書 / 帳簿 / (切手・マッチ・小切手などの)とじこみ帳 / 名簿","これは読むべき本だ。","Free time; Objects and rooms; entertainment"
"105","A1","bookstore","noun","書","1","書,本屋(《英》bookshop)","私は新しい本を買うために書店に行きました。","Shopping; Things in the town; shops and shopping"
"106","A1","boring","adjective","つまらない","5","つまらない / 退屈な / うんざりするような","講義がとても退屈だったので、私は眠ってしまった。",""
