headword,pos,supplement,topic_tag,entry,meaning,meaning_en,meaning_ja,ipa,word_id,example_sentence,translated_sentence,sentence_id
ache,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: 

Threshold: Health and body care",,ache,"《しばしば複合語を作って》(継続的な鈍い)『痛み』,うずき",,"《しばしば複合語を作って》(継続的な鈍い)『痛み』,うずき",/ˈeɪk/,355,I have a dull ache here.,ここに鈍痛があります。,136105
achievement,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: ",,achievement,"〈U〉(…の)成就(じょうじゅ),達成《+of+名》  / 〈U〉業績,功績,達成されたこと",,"〈U〉(…の)成就(じょうじゅ),達成《+of+名》  / 〈U〉業績,功績,達成されたこと",/əˈtʃiːvmənt/,359,His achievement in the field of science is remarkable.,科学の分野における彼の功績は目覚ましい。,2995709
acknowledge,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,acknowledge,"を認める, を認識する / を承認する / を受け取ったことを知らせる / に礼を言う, に感謝する",,"を認める, を認識する / を承認する / を受け取ったことを知らせる / に礼を言う, に感謝する",/əkˈnɑː.lɪdʒ/,377,I acknowledge that I made a mistake.,私は自分が間違いを犯したことを認めます。,2995716
acknowledgment/acknowledgement,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,acknowledgment,"〈U〉(…を)認めること,認めて感謝すること《+『of』+『名』》 / 〈C〉(手紙・贈物などの)受領の通知 / 〈U〉感謝,〈C〉感謝のしるし(言葉)",,"〈U〉(…を)認めること,認めて感謝すること《+『of』+『名』》 / 〈C〉(手紙・贈物などの)受領の通知 / 〈U〉感謝,〈C〉感謝のしるし(言葉)",/əkˈnɑlɪdʒmənt/,379,Your acknowledgment of your mistake is the first step towards improvement.,あなたが自分の間違いを認めることは、改善への最初のステップです。,2995719
acquaintance,noun,"CoreInventory_1: Personal information

CoreInventory 2: 

Threshold: ",,acquaintance,"〈C〉(それほど親密ではない) 知り合い, 知人 / 〈U〉《時にa~》《 …を》知っていること,《…の》知識《with ...》",,"〈C〉(それほど親密ではない) 知り合い, 知人 / 〈U〉《時にa~》《 …を》知っていること,《…の》知識《with ...》",/əˈkweɪntəns/,390,I bumped into an old acquaintance at the supermarket yesterday.,昨日、スーパーマーケットで昔の知り合いに偶然会った。,2995724
acquire,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,acquire,取得する,,取得する,/əˈkwaɪər/,396,The company plans to acquire a new software to improve their system.,その会社は、システムを改善するために新しいソフトウェアを取得する予定です。,2995727
act,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,act,"行い,行為  / 《しばしばA-》法令,条令  / 《しばしばA-》(芝居の1つの)幕;(演芸などの)出し物の一つ  / (見せかけの)お芝居,演技",,"行い,行為  / 《しばしばA-》法令,条令  / 《しばしばA-》(芝居の1つの)幕;(演芸などの)出し物の一つ  / (見せかけの)お芝居,演技","",9702341,The spy was caught in the act of espionage.,そのスパイはスパイ活動中に捕まった。,1623815
active,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,active,"活動的な,活発な,活気のある  / 有効な,(薬の効力などが)まだ働いている,機能している  / (軍務で)現役の  / 積極的な,実際的な  / 能動態の",,"活動的な,活発な,活気のある  / 有効な,(薬の効力などが)まだ働いている,機能している  / (軍務で)現役の  / 積極的な,実際的な  / 能動態の",/ˈæktɪv/,438,She is an active member of the community.,彼女はコミュニティの活動的なメンバーです。,2995741
actress,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: Film

Threshold: Personal identification",,actress,〈C〉女優,,〈C〉女優,/ˈæk.trəs/,446,The actress received a standing ovation for her performance.,その女優は彼女の演技に対してスタンディングオベーションを受けました。,2995744
ad,noun,"CoreInventory_1: Media

CoreInventory 2: 

Threshold: ",,ad,〈C〉｟くだけて｠ 広告,,〈C〉｟くだけて｠ 広告,/æd/,460,I saw an interesting ad in the newspaper today.,今日、新聞で面白い広告を見ました。,2995748
adapt,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adapt,"《...に》 ...を適応させる 《to ...》 / 《...向きに》 ...を脚色する 《for ...》 / 《...に》 適応する, 順応する 《to ...》",,"《...に》 ...を適応させる 《to ...》 / 《...向きに》 ...を脚色する 《for ...》 / 《...に》 適応する, 順応する 《to ...》",/əˈdæpt/,472,We need to adapt our strategies to the changing market conditions.,私たちは、変化する市場状況に対応するために、戦略を適応させる必要があります。,2995757
address,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,address,"《かたく》(問題・課題など)に取り組む, に専念する / 《…と》〈人〉に話しかける,に呼びかける《as ...》 /...に宛てて手紙を出す, に宛てて小包を出す / 《人にあてて》…のあて名を書いて出す《to ...》 /  …に演説する,...に講演する / 《…に》〈抗議など〉を向ける《to ...》",,"《かたく》(問題・課題など)に取り組む, に専念する / 《…と》〈人〉に話しかける,に呼びかける《as ...》 /...に宛てて手紙を出す, に宛てて小包を出す / 《人にあてて》…のあて名を書いて出す《to ...》 /  …に演説する,...に講演する / 《…に》〈抗議など〉を向ける《to ...》",/əˈdrɛs/,3207949,The government is taking action to address human rights abuse in the country.,政府は国内の人権侵害に対処するための措置を取っています。,1663014
addressee,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,addressee,"受信人,名あて人",,"受信人,名あて人",/ˌæd.rɛˈsiː/,497,Please ensure that the addressee receives this letter.,この手紙が受信人に確実に届くようにしてください。,2995758
administration,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: 

Threshold: ",,administration,統治 / 管理 / 管理者 / 当局者 / 執行 / (しばしばthe A~) 政府、内閣,,統治 / 管理 / 管理者 / 当局者 / 執行 / (しばしばthe A~) 政府、内閣,/ədˌmɪnɪˈstreɪʃən/,543,The administration of this company is very efficient.,この会社の管理は非常に効率的です。,2995775
admiration,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,admiration,"〈U〉《…に対する》賞賛,感嘆,賛美《for, of ...》 / 《the ~ of ...》《…の》賞賛の的, 感嘆の的",,"〈U〉《…に対する》賞賛,感嘆,賛美《for, of ...》 / 《the ~ of ...》《…の》賞賛の的, 感嘆の的",/ˌædməˈreɪʃən/,550,His unwavering dedication to his work is truly worthy of admiration.,彼の仕事への揺るぎない献身は本当に賞賛に値する。,2995780
admission,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: ",,admission,"〈U〉《場所・学校・会などへ》入ることを許すこと《to ...》 / 《...への》 入場料 《to ...》 / 〈C〉(事実・誤りなどを)認めること,白状",,"〈U〉《場所・学校・会などへ》入ることを許すこと《to ...》 / 《...への》 入場料 《to ...》 / 〈C〉(事実・誤りなどを)認めること,白状",/ədˈmɪʃən/,556,The museum offers free admission to students on weekends.,週末には、学生は無料でその博物館に入場できる。,2995787
adopt,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adopt,採用する / 取り入れる / 養子にする,,採用する / 取り入れる / 養子にする,/əˈdɑpt/,573,Many companies are looking to adopt innovative technologies to improve their services.,多くの企業が、サービスを改善するために革新的な技術を採用することを検討しています。,2995366
adorable,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adorable,"《話》ほれぼれする,とてもすてきな / 敬愛すべき",,"《話》ほれぼれする,とてもすてきな / 敬愛すべき",/əˈdɔːrəbəl/,576,It’s so adorable.,とても可愛らしいですね。,1625279
advance,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,advance,"を前進させる, を進める / 《...に向かって》 前進する 《on, upon, toward ...》",,"を前進させる, を進める / 《...に向かって》 前進する 《on, upon, toward ...》",/ədˈvæns/,609,We need to advance our plans for the project.,私たちはプロジェクトの計画を進める必要があります。,2995800
adverb,noun,"CoreInventory_1: Education

CoreInventory 2: 

Threshold: Education",,adverb,"『副詞』({略}ad.,adv.)",,"『副詞』({略}ad.,adv.)",/ˈæd.vɜːrb/,624,Some English adverbs function as adjectives.,英語の副詞の中には形容詞の役目をするものがある。,101250
adverbial,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,adverbial,"副詞の,副詞的な",,"副詞の,副詞的な",/ædˈvɜr.bi.əl/,625,Adverbial time clauses (here 'when') write about the future in the present tense.,時の副詞節(ここではwhen)は、未来のことがらを現在時制で表します。,1243
advert,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,advert,"〈英〉〈C〉《...の》広告, 宣伝《for ...》（[[advertisement]]） / 《...の》手本《for ...》",,"〈英〉〈C〉《...の》広告, 宣伝《for ...》（[[advertisement]]） / 《...の》手本《for ...》",/ˈædvɜːrt/,631,I saw an advert for a new car on TV.,テレビで新しい車の広告を見ました。,1652083
advertise,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,advertise,"…を広告する,宣伝する;…を言いふらす  / 《…を求めて》広告を出す《for ...》",,"…を広告する,宣伝する;…を言いふらす  / 《…を求めて》広告を出す《for ...》",/ˈædvərˌtaɪz/,633,We need to advertise our new product to increase sales.,私たちは新製品を広告して売上を増やす必要があります。,2995805
adviser/advisor,noun,"CoreInventory_1: Education

CoreInventory 2: Work and jobs

Threshold: Personal identification",,adviser,"忠告者,助言者;顧問  / 《米》(大学の)新入生指導教師",,"忠告者,助言者;顧問  / 《米》(大学の)新入生指導教師",/ədˈvaɪzər/,644,My adviser gave me some valuable advice for my future career.,私の忠告者は、私の将来のキャリアに対して貴重なアドバイスをくれました。,2995815
aerobics,noun,"CoreInventory_1: Hobbies and pastimes

CoreInventory 2: 

Threshold: Free time, entertainment",,aerobics,"エアロビクス,エアロビック運動,有酸素運動",,"エアロビクス,エアロビック運動,有酸素運動",/ɛəˈroʊbɪks/,9704873,She goes to aerobics once a week.,彼女は週に１回エアロビクスをやっている。,14607
affect,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,affect,影響を与える,,影響を与える,/əˈfɛkt/,705,The heavy rain affected the traffic.,激しい雨が交通に影響を与えました。,1658690
affection,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,affection,"〈U〉《…に対する》愛情,好意, 《しばしば複数形で》恋情 《for, toward ...》  / 〈C〉(体のある部分の)病気",,"〈U〉《…に対する》愛情,好意, 《しばしば複数形で》恋情 《for, toward ...》  / 〈C〉(体のある部分の)病気",/əˈfɛkʃən/,711,She is hungry for affection.,彼女は愛情に飢えている。,17036
afford,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,afford,"《[[can]],[[could]],be [[able to]]と共に用いて》〈金・時間・もの〉を持てる余裕がある, ...を買う余裕がある, ...を支払う余裕がある  / 《[[can ~ to do|afford to]]》 ...できる余裕がある / 《文》〈物・事が〉…を与える, を供給する([[provide with]])",,"《[[can]],[[could]],be [[able to]]と共に用いて》〈金・時間・もの〉を持てる余裕がある, ...を買う余裕がある, ...を支払う余裕がある  / 《[[can ~ to do|afford to]]》 ...できる余裕がある / 《文》〈物・事が〉…を与える, を供給する([[provide with]])",/əˈfɔːrd/,731,I can't afford to buy a new car.,私は新しい車を買う余裕がありません。,2995834
after,conjunction,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,after,"《時》…した後で(に),してから",,"《時》…した後で(に),してから",/ˈæftər/,3207950,"After I finish my homework, I will watch TV.",宿題を終えたら、テレビを見ます。,1623100
afterward/afterwards,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,afterward,"あとで, あとに / 以後, その後",,"あとで, あとに / 以後, その後",/ˈæftərwərd/,784,I will clean the house afterward.,私はあとで家を掃除します。,2995854
agenda,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: ",,agenda,"会議事項,議事日程;備忘録",,"会議事項,議事日程;備忘録",/əˈdʒɛndə/,807,Please make sure to review the agenda before the meeting.,会議前に必ず議題を確認してください。,2995859
aggressive,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aggressive,"侵略的な,攻撃的な  / 積極的な,反対を恐れない",,"侵略的な,攻撃的な  / 積極的な,反対を恐れない",/əˈɡrɛsɪv/,827,The fight between the two teams was aggressive.,2つのチーム間の戦いは激しかった。,1624820
agreement,noun,"CoreInventory_1: Work and jobs

CoreInventory 2: 

Threshold: ",,agreement,"〈U〉《…についての》 一致,調和,同意 《on, about, with ...》 / 〈C〉(2者以上の間で結ばれた) 協定,協約",,"〈U〉《…についての》 一致,調和,同意 《on, about, with ...》 / 〈C〉(2者以上の間で結ばれた) 協定,協約",/əˈɡriː.mənt/,862,They reached an agreement on the terms of the contract.,彼らは契約条件に合意しました。,1628085
agricultural,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,agricultural,"農業の, 農耕の, 農学の",,"農業の, 農耕の, 農学の",/ˌæɡrɪˈkʌltʃərəl/,864,The agricultural sector plays a vital role in the country's economy.,農業部門は、国の経済において重要な役割を果たしています。,2995884
agriculture,noun,"CoreInventory_1: Food and drink

CoreInventory 2: Work and jobs

Threshold: ",,agriculture,"農業,農学",,"農業,農学",/ˈæɡrɪˌkʌlʧər/,866,Agriculture plays a vital role in the economy of many countries.,農業は多くの国々の経済で重要な役割を果たしています。,2995885
aid,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aid,"〈U〉助力,援助；手当て〈C〉助けとなるもの",,"〈U〉助力,援助；手当て〈C〉助けとなるもの",/eɪd/,879,The Red Cross provides aid to disaster victims.,赤十字は災害被災者に援助を提供しています。,3008873
aid,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aid,"【動/他】を援助する,支援する【動/自】助けとなる",,"【動/他】を援助する,支援する【動/自】助けとなる",/eɪd/,9702350,We aided him with money.,私達はお金を出してあげて彼を援助した。,66084
aim,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,aim,目的、目標、狙い,,目的、目標、狙い,/eɪm/,888,My aim is to become a successful entrepreneur.,私の目標は、成功した起業家になることです。,2936091
air conditioning,noun,"CoreInventory_1: Objects and rooms

CoreInventory 2: 

Threshold: House and home, environment",,air-conditioning,"(室内の)空気調節,冷暖房",,"(室内の)空気調節,冷暖房",/ɛər kənˈdɪʃənɪŋ/,930,The air-conditioning in this room is very efficient.,この部屋のエアコンは非常に効率的です。,2995897
air force,noun,"CoreInventory_1: 

CoreInventory 2: 

Threshold: Personal identification",,air force,"〈U〉〈C〉空軍 / 《A-F-》米国空軍,英国空軍(正式にはthe United States Air Force, the Royal Air Forceという)",,"〈U〉〈C〉空軍 / 《A-F-》米国空軍,英国空軍(正式にはthe United States Air Force, the Royal Air Forceという)",/ɛər fɔrs/,902,My brother is serving in the air force.,私の兄は空軍で勤務しています。,2995891
airline,noun,"CoreInventory_1: Travel and services vocab

CoreInventory 2: 

Threshold: Travel",,airline,"〈C〉定期航空, 定期航空路 / (空港・航空機などの)定期航空設備 / 定期航空会社",,"〈C〉定期航空, 定期航空路 / (空港・航空機などの)定期航空設備 / 定期航空会社",/ˈɛərlaɪn/,963,I booked my flight with a popular airline.,私は人気のある航空会社でフライトを予約しました。,3008879
alarm,verb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alarm,に警報する / を怖がらせる,,に警報する / を怖がらせる,/əˈlɑrm/,9702352,They were alarmed at the news.,彼らはその知らせを聞いてびっくりした。,23614
alcohol,noun,"CoreInventory_1: Food and drink

CoreInventory 2: 

Threshold: Food and drink",,alcohol,"〈U〉アルコール / アルコール飲料, 酒",,"〈U〉アルコール / アルコール飲料, 酒",/ˈælkəˌhɔl/,1031,He decided to quit drinking alcohol for his health.,彼は健康のためにアルコールを飲むのをやめることに決めました。,2995927
alcoholic,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alcoholic,"アルコールの,アルコール性の / アルコールのはいった;アルコール漬けの / アルコール中毒の",,"アルコールの,アルコール性の / アルコールのはいった;アルコール漬けの / アルコール中毒の",/ˌæl.kəˈhɒ.lɪk/,1032,He never touches alcoholic drinks.,彼は、いっさいアルコールは口にしない。,41280
alike,adjective,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alike,(外見が)似ている；同様である,,(外見が)似ている；同様である,/əˈlaɪk/,1084,"Despite their differences, the two paintings are very much alike.",それらの違いにもかかわらず、その2つの絵は非常に似ています。,2995937
alike,adverb,"CoreInventory_1: 

CoreInventory 2: 

Threshold: ",,alike,同じように；等しく,,同じように；等しく,/əˈlaɪk/,9702354,The three sisters look very much alike.,その三姉妹はとても似ている。,122287
